RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,SEED
224,Bethune Cookman,SWAC,32,17,104.1,108.6,.3817,51.0,49.7,19.2,15.8,30.1,31.7,40.9,38.6,51.6,49.9,33.0,32.9,29.7,33.1,69.0,-8.5,
225,Tarleton St.,WAC,32,14,103.3,107.8,.3807,48.3,53.6,20.0,23.4,31.5,35.1,41.9,47.7,48.2,54.4,32.5,34.9,24.2,40.7,69.5,-11.9,
226,Ohio,MAC,32,15,108.3,113.1,.3757,50.9,53.0,15.5,16.1,28.4,32.8,36.9,38.2,54.5,51.9,30.1,36.8,38.1,33.6,68.9,-11.6,
227,Stony Brook,CAA,32,17,105.2,110.2,.3706,50.2,50.7,16.8,17.1,28.0,32.4,28.4,35.4,48.5,48.8,34.8,35.7,45.8,39.8,66.2,-10.7,
228,Texas St.,SB,32,19,104.4,109.6,.3641,50.0,52.0,18.6,18.5,33.9,28.4,34.0,39.1,50.5,51.1,32.2,35.7,24.6,37.5,66.1,-9.8,
229,Georgia Southern,SB,37,21,110.0,115.9,.3539,51.4,52.3,14.6,18.7,28.8,35.2,39.6,41.4,52.7,52.9,33.4,34.3,48.9,39.5,70.1,-12.0,
230,Coastal Carolina,SB,32,19,101.8,107.5,.3491,47.9,46.8,15.2,12.3,26.9,27.6,32.3,34.9,46.1,45.5,33.5,32.8,43.1,35.7,67.1,-8.9,
231,Denver,Sum,32,15,114.9,121.4,.3484,53.6,56.0,14.3,13.0,29.8,32.8,34.1,36.8,52.6,56.6,36.8,36.7,38.6,37.0,68.0,-10.9,
232,Samford,SC,32,18,107.8,113.9,.3463,53.1,51.9,13.4,13.0,25.3,25.7,41.9,32.9,52.8,50.3,35.6,36.5,45.7,35.9,67.3,-9.8,
233,Lipscomb,ASun,32,19,105.0,111.1,.3449,54.1,53.2,16.0,17.7,25.8,30.2,26.0,29.0,54.5,54.3,35.7,34.3,47.9,40.2,69.4,-7.8,
234,LIU,NEC,34,24,103.6,109.7,.3409,53.3,49.8,19.0,18.9,34.3,32.6,34.7,34.1,52.9,50.8,36.1,31.9,29.0,33.2,67.8,-5.8,
